INFO 2025-07-15 09:35:36,228 autoreload Watching for file changes with StatReloader
DEBUG 2025-07-15 09:35:36,228 autoreload Waiting for apps ready_event.
DEBUG 2025-07-15 09:36:08,105 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2025-07-15 09:36:08,139 autoreload Watching dir C:\Users\Pro\Desktop\Ayodele\25062025\myproject\myapp\templates with glob **/*.
DEBUG 2025-07-15 09:36:08,140 autoreload Watching dir C:\Users\Pro\Desktop\Ayodele\25062025\myproject\templates with glob **/*.
DEBUG 2025-07-15 09:36:08,140 autoreload Watching dir C:\Users\Pro\Desktop\Ayodele\25062025\myproject\locale with glob **/*.mo.
DEBUG 2025-07-15 09:36:08,144 autoreload Watching dir C:\Users\Pro\Desktop\Ayodele\25062025\myproject\myapp\locale with glob **/*.mo.
DEBUG 2025-07-15 09:36:09,595 autoreload File C:\Users\Pro\Desktop\Ayodele\25062025\venv\Lib\site-packages\h2\utilities.py first seen with mtime 1751615905.9758916
DEBUG 2025-07-15 09:36:09,601 autoreload File C:\Program Files\Python312\Lib\csv.py first seen with mtime 1717728852.0
DEBUG 2025-07-15 09:36:09,601 autoreload File C:\Users\Pro\Desktop\Ayodele\25062025\venv\Lib\site-packages\spacy\pipeline\textcat.py first seen with mtime 1751615529.7146945
DEBUG 2025-07-15 09:36:09,602 autoreload File C:\Users\Pro\Desktop\Ayodele\25062025\venv\Lib\site-packages\spacy\pipeline\_parser_internals\ner.cp312-win_amd64.pyd first seen with mtime 1751615530.1913784
DEBUG 2025-07-15 09:36:09,603 autoreload File C:\Users\Pro\Desktop\Ayodele\25062025\venv\Lib\site-packages\langchain_core\utils\usage.py first seen with mtime 1751607616.7566202
DEBUG 2025-07-15 09:36:09,603 autoreload File C:\Program Files\Python312\Lib\asyncio\sslproto.py first seen with mtime 1717728852.0
DEBUG 2025-07-15 09:36:09,604 autoreload File C:\Users\Pro\Desktop\Ayodele\25062025\venv\Lib\site-packages\google\auth\_credentials_base.py first seen with mtime 1751607524.8524168
DEBUG 2025-07-15 09:36:09,604 autoreload File C:\Users\Pro\Desktop\Ayodele\25062025\venv\Lib\site-packages\preshed\maps.cp312-win_amd64.pyd first seen with mtime 1751615516.4714682
DEBUG 2025-07-15 09:36:09,605 autoreload File C:\Users\Pro\Desktop\Ayodele\25062025\venv\Lib\site-packages\markdown_it\rules_inline\state_inline.py first seen with mtime 1751615516.6140501
DEBUG 2025-07-15 09:36:09,606 autoreload File C:\Users\Pro\Desktop\Ayodele\25062025\venv\Lib\site-packages\numpy\random\bit_generator.cp312-win_amd64.pyd first seen with mtime 1751607667.730985
DEBUG 2025-07-15 09:36:09,609 autoreload File C:\Users\Pro\Desktop\Ayodele\25062025\myproject\myapp\urls.py first seen with mtime 1752112193.6353784
DEBUG 2025-07-15 09:36:09,610 autoreload File C:\Users\Pro\Desktop\Ayodele\25062025\venv\Lib\site-packages\django\contrib\auth\apps.py first seen with mtime 1751606553.8768494
DEBUG 2025-07-15 09:36:09,611 autoreload File C:\Users\Pro\Desktop\Ayodele\25062025\venv\Lib\site-packages\parso\python\pep8.py first seen with mtime 1751957285.5962913
DEBUG 2025-07-15 09:36:09,612 autoreload File C:\Users\Pro\Desktop\Ayodele\25062025\venv\Lib\site-packages\pydantic\aliases.py first seen with mtime 1751607516.0428684
DEBUG 2025-07-15 09:36:09,614 autoreload File C:\Users\Pro\Desktop\Ayodele\25062025\venv\Lib\site-packages\spacy\lang\xx\__init__.py first seen with mtime 1751615529.3858585
DEBUG 2025-07-15 09:36:09,618 autoreload File C:\Users\Pro\Desktop\Ayodele\25062025\venv\Lib\site-packages\aiohttp\payload.py first seen with mtime 1752513859.1087315
DEBUG 2025-07-15 09:36:09,621 autoreload File C:\Program Files\Python312\Lib\email\base64mime.py first seen with mtime 1717728852.0
DEBUG 2025-07-15 09:36:09,626 autoreload File C:\Users\Pro\Desktop\Ayodele\25062025\venv\Lib\site-packages\django\core\checks\model_checks.py first seen with mtime 1751606558.218668
DEBUG 2025-07-15 09:36:09,629 autoreload File C:\Users\Pro\Desktop\Ayodele\25062025\venv\Lib\site-packages\django\db\models\signals.py first seen with mtime 1751606558.4821403
DEBUG 2025-07-15 09:36:09,632 autoreload File C:\Users\Pro\Desktop\Ayodele\25062025\venv\Lib\site-packages\parso\python\tokenize.py first seen with mtime 1751957285.6011765
DEBUG 2025-07-15 09:36:09,635 autoreload File C:\Users\Pro\Desktop\Ayodele\25062025\venv\Lib\site-packages\django\views\__init__.py first seen with mtime 1751606558.8764036
DEBUG 2025-07-15 09:36:09,636 autoreload File C:\Users\Pro\Desktop\Ayodele\25062025\venv\Lib\site-packages\django\apps\__init__.py first seen with mtime 1751606550.4377718
DEBUG 2025-07-15 09:36:09,638 autoreload File C:\Users\Pro\Desktop\Ayodele\25062025\venv\Lib\site-packages\pygments\__init__.py first seen with mtime 1751615503.5878644
DEBUG 2025-07-15 09:36:09,645 autoreload File C:\Users\Pro\Desktop\Ayodele\25062025\venv\Lib\site-packages\pyasn1\type\char.py first seen with mtime 1751607507.6063704
DEBUG 2025-07-15 09:36:09,647 autoreload File C:\Users\Pro\Desktop\Ayodele\25062025\venv\Lib\site-packages\aiohttp\_websocket\models.py first seen with mtime 1752513859.1521893
DEBUG 2025-07-15 09:36:09,651 autoreload File C:\Users\Pro\Desktop\Ayodele\25062025\venv\Lib\site-packages\google\ai\generativelanguage_v1beta\services\retriever_service\transports\grpc.py first seen with mtime 1752198756.0457902
DEBUG 2025-07-15 09:36:09,654 autoreload File C:\Users\Pro\Desktop\Ayodele\25062025\venv\Lib\site-packages\pypdf\generic\_base.py first seen with mtime 1751612310.4936178
